,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
0,0,44,500 dias juntos,(500) Days of Summer,"['Comedia', 'Drama', 'Romance']",['Marc Webb'],"['date', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles', 'summer', 'year', 'heartache']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler']",31
2,2,49,Nuestros maravillosos aliados,*batteries not included,"['Comedia', 'Familia', 'Fantasía', 'Ciencia ficción']",['Matthew Robbins'],"['extraterrestrial technology', 'alien life-form', 'alien phenomenons', 'spaceship', 'new york city', 'apartment building', 'elderly couple', 'property development']","['Hume Cronyn', 'Jessica Tandy', 'Frank McRae', 'Elizabeth Peña', 'Michael Carmine']",53
4,4,558,Arresto domiciliario,100 Feet,"['Terror', 'Suspense']",['Eric Red'],"['house arrest', 'haunting', 'vengeful ghost']","['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré', 'Patricia Charbonneau']",22
5,5,761,12 trampas,12 Rounds,"['Acción', 'Suspense', 'Crimen']",['Renny Harlin'],"['police', 'cops', 'cat and mouse', 'family', 'revenge drama']","['John Cena', 'Aidan Gillen', 'Ashley Scott', 'Steve Harris', 'Brian J. White']",32
6,6,763,12 balas,12 Rounds 3: Lockdown,"['Acción', 'Suspense', 'Crimen']",['Stephen Reynolds'],"['cat and mouse', 'family', 'revenge drama']","['Jonathan Good', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro', 'Ty Olsson']",32
7,7,768,12 años de esclavitud,12 Years a Slave,"['Drama', 'Historia']",['Steve McQueen'],"['slavery', 'violin player', 'physical abuse', 'black slave', 'american history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'abuse of power']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano']",21
9,9,777,127 horas,127 Hours,"['Aventura', 'Drama', 'Suspense']",['Danny Boyle'],"['mountain', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on a true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']","['James Franco', 'Kate Mara', 'Amber Tamblyn', 'Clémence Poésy', 'Lizzy Caplan']",33
35,35,1740,El tren de las 3:10,3:10 to Yuma,['Western'],['James Mangold'],"['parent child relationship', 'saloon', 'hero', 'liberation of prisoners', 'transport of prisoners', 'wilderness', 'dying and death', 'race against time', 'railway car', 'stetson', 'rivalry', 'gang', 'gunfight', 'family', 'psychological', 'dishonesty', 'heroic mission', 'righting the wronged', 'chases and races', 'mind and soul']","['Russell Crowe', 'Christian Bale', 'Logan Lerman', 'Dallas Roberts', 'Peter Fonda']",11
36,36,1935,Los 4 fantásticos y Silver Surfer,Fantastic Four: Rise of the Silver Surfer,"['Aventura', 'Fantasía', 'Acción', 'Suspense']",['Tim Story'],"['fire', 'helicopter', 'surfboard', 'mask', 'satellite', 'airplane', 'transformation', 'forest', 'resurrection', 'sequel', 'superhero', 'based on comic', 'outer space', 'wedding', 'explosion', 'scientist', 'interrogation', 'double cross', 'fantastic four', 'military', 'earth in peril', 'superhuman strength', 'duringcreditsstinger', 'invisibility', 'silver surfer', 'forcefield', 'elasticity']","['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon']",46
37,37,2084,50 primeras citas,50 First Dates,"['Comedia', 'Romance']",['Peter Segal'],"['deja vu', 'amnesia', 'hawaii', 'ladykiller', 'romantic comedy']","['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin', 'Lusia Strus']",22
38,38,2127,6 Balas,6 Bullets,"['Suspense', 'Acción', 'Crimen']",['Ernie Barbarash'],[],"['Jean-Claude Van Damme', 'Kris Van Damme', 'Bianca Bree', 'Joe Flanigan', 'Anna-Louise Plowman']",32
39,39,2193,7 años de matrimonio,7 años de matrimonio,"['Comedia', 'Romance']",['Joel Núñez'],['marriage problems'],"['Roberto Palazuelos', 'Ximena Herrera', 'Ximena Herrera', 'Cristián de la Fuente', 'Fernando Becerril']",22
41,41,2198,7 Cajas,7 cajas,"['Acción', 'Suspense']","['Juan Carlos Maneglia', 'Tana Schémbori']",['woman director'],"['Celso Franco', 'Lali González', 'Víctor Sosa', 'Nico García', 'Paletita']",22
42,42,2271,8 tiros,8 tiros,"['Drama', 'Acción', 'Crimen']",['Bruno Hernandez'],[],"['Alberto Ajaka', 'María Eugenia Arboleda', 'Daniel Aráoz', 'Leticia Brédice', 'Javier De Nevares']",29
43,43,2290,Asesinato en 8mm,8MM,"['Suspense', 'Crimen', 'Misterio']",['Joel Schumacher'],"['pornography', 'loss of loved one', 'porn actor', 'child pornography', 'private investigator', 'subculture', 'private detective']","['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini', 'Chris Bauer', 'Anthony Heald']",34
73,73,2929,Un lugar solitario para morir,A Lonely Place to Die,"['Aventura', 'Acción', 'Suspense', 'Crimen']",['Julian Gilbey'],"['terror', 'scotland', 'kidnapping', 'wilderness', 'mountaineer', 'hiking', 'climbing', 'torture']","['Melissa George', 'Ed Speleers', 'Eamonn Walker', 'Alec Newman', 'Karel Roden']",44
74,74,2932,Mejor otro día,A Long Way Down,"['Comedia', 'Drama']",['Pascal Chaumeil'],"['london england', 'suicide attempt', 'city', 'new year']","['Pierce Brosnan', 'Aaron Paul', 'Imogen Poots', 'Toni Collette', 'Sam Neill']",20
76,76,2936,El amor es lo que tiene,A Lot Like Love,"['Comedia', 'Drama']",['Nigel Cole'],"['new york', 'shyness', 'career', 'flight', 'romantic comedy', 'travel', 'los angeles']","['Ashton Kutcher', 'Amanda Peet', 'Aimee Garcia', 'Taryn Manning', 'Ali Larter']",20
77,77,2947,A Madea Christmas,A Madea Christmas,"['Comedia', 'Drama']",['Tyler Perry'],['christmas'],"['Tyler Perry', 'Anna Maria Horsford', 'Tika Sumpter', 'Eric Lively', 'Chad Michael Murray']",20
79,79,3020,A Mile in His Shoes,A Mile in His Shoes,"['Drama', 'Familia']",['William Dear'],[],"['Luke Schroder', 'George Canyon', 'Dean Cain', 'Chilton Crane', 'Jarod Joseph']",20
80,80,3055,Music According to Tom Jobim,A Música Segundo Tom Jobim,"['Documental', 'Música']","['Nelson Pereira dos Santos', 'Dora Jobim']",['bossa nova'],"['Antônio Carlos Jobim', 'Ella Fitzgerald', 'Caetano Veloso', 'Gal Costa', 'Judy Garland']",24
82,82,3060,Doble venganza,A Nanny's Revenge,"['Drama', 'Suspense']",['Curtis Crawford'],[],"[""Jodi Lyn O'Keefe"", 'Michael Woods', 'Victoria Pratt', 'Cynthia Preston']",21
83,83,3084,Pesadilla en Elm Street (El origen),A Nightmare on Elm Street,"['Terror', 'Misterio', 'Suspense']",[],[],[],34
110,110,3936,"Actores, S.A.","Actores, S.A.",['Comedia'],['Carlos Sariñana'],['theater'],"['Raúl Méndez', 'Eugenio Bartilotti', 'Erick Elías', 'Sophie Alexander-Katz', 'Fernando Becerril']",11
112,112,3979,Addicted,Addicted,"['Drama', 'Suspense']",['Bille Woodruff'],"['infidelity', 'obsession', 'lie', 'sin', 'interracial relationship', 'cheating wife', 'lust', 'attraction', 'deceit', 'temptation', 'hipersexualidad', 'faithful husband']","['Boris Kodjoe', 'Brandon Gonzales', 'Cameron Mills', 'Emayatzy Corinealdi', 'Garrett Hines']",21
113,113,4066,Proceso de admisión,Admission,"['Comedia', 'Drama', 'Romance']",['Paul Weitz'],"['princeton university', 'adoption', 'wedding', 'admissions']","['Tina Fey', 'Paul Rudd', 'Michael Sheen', 'Lily Tomlin', 'Wallace Shawn']",31
119,119,4215,Adventures of Bailey: The Lost Puppy,Adventures of Bailey: The Lost Puppy,['Familia'],['Steve Franke'],[],"['Rick Shew', 'Liz Franke', 'Emily Stuhler', 'Truman Croft', 'Jennifer Hamada']",11
120,120,4240,Afflicted,Afflicted,"['Terror', 'Suspense']","['Clif Prowse', 'Derek Lee']","['vampire', 'found footage']","['Baya Rehaz', 'Derek Lee', 'Clif Prowse', 'Edo van Breemen', 'Zachary Gray']",22
121,121,4267,After Earth,After Earth,"['Ciencia ficción', 'Acción', 'Aventura']",['M. Night Shyamalan'],['dystopia'],"['Jaden Smith', 'Will Smith', 'Sophie Okonedo', 'Zoë Kravitz', 'Glenn Morshower']",41
147,147,4826,Alien³,Alien³,"['Ciencia ficción', 'Acción', 'Terror']",['David Fincher'],"['prison', 'android', 'spacecraft', 'space marine', 'imprisonment', 'space colony', 'space travel', 'rottweiler', 'dystopia', 'sequel', 'alien', 'redemption', 'outer space', 'planet', 'shaved head', 'crash landing', 'impregnation', 'penal colony', 'furnace', 'suspended animation', 'xenomorph']","['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance', 'Pete Postlethwaite', 'Ralph Brown']",39
148,148,4858,Loca obsesión,All About Steve,['Comedia'],['Phil Traill'],"['new love', 'blind date', 'eccentric', 'aftercreditsstinger', 'crossword puzzle', 'mine shaft', 'dedication']","['Sandra Bullock', 'Thomas Haden Church', 'Bradley Cooper', 'Ken Jeong', 'DJ Qualls']",11
150,150,4870,Todos los perros van al cielo,All Dogs Go to Heaven,"['Drama', 'Animación', 'Familia', 'Comedia', 'Fantasía']","['Don Bluth', 'Gary Goldman', 'Dan Kuenster']","['new orleans', 'heaven', 'german shepherd', 'second chance']","['Burt Reynolds', 'Dom DeLuise', 'Judith Barsi', 'Melba Moore', 'Daryl Gilley']",56
152,152,4892,Dos veces yo,All of Me,"['Comedia', 'Fantasía', 'Romance', 'Ciencia ficción']",['Carl Reiner'],"['change', 'guru', 'body-swap', 'eccentric millionaire', 'body switch']","['Steve Martin', 'Lily Tomlin', 'Victoria Tennant', 'Madolyn Smith Osborne', 'Richard Libertini']",53
154,154,4918,Todos los caballos bellos,All the Pretty Horses,"['Drama', 'Romance', 'Western']",['Billy Bob Thornton'],"['dancing', 'chess', 'texas', 'prisoner', 'coffin', 'wrong accusal', 'ranch', 'airplane', 'beating', 'jail', 'rifle', 'corpse', 'lasso', 'cautery', '1940s']","['Matt Damon', 'Henry Thomas', 'Penélope Cruz', 'Sam Shepard', 'Robert Patrick']",31
160,160,5023,Y entonces llegó ella,Along Came Polly,"['Comedia', 'Romance']",['John Hamburg'],"['beach', 'honeymoon', 'bride', 'chance', 'risk', 'relation', 'long island', 'romantic comedy', 'scuba diving', 'unfaithfulness', 'los angeles', 'art gallery', 'dance class', 'opposites attract', 'caribbean', 'commitment', 'dance club', 'neurotic', 'bagpipes', 'chance encounter', 'insurance risk manager']","['Ben Stiller', 'Jennifer Aniston', 'Philip Seymour Hoffman', 'Debra Messing', 'Alec Baldwin']",22
188,188,5441,American Pie ¡Menuda boda!,American Wedding,"['Comedia', 'Romance']",['Jesse Dylan'],"['sibling relationship', 'handcuffs', 'spanner', 'blow job', 'stag night', 'wedding']","['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott', 'Eddie Kaye Thomas', 'Thomas Ian Nicholas']",22
