,id,title,title_original,genres,director,keywords,cast
0,558,Arresto domiciliario,100 Feet,"['Terror', 'Suspense']",['Eric Red'],"['house arrest', 'haunting', 'vengeful ghost']","['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré', 'Patricia Charbonneau']"
1,912,180 grados,180 grados,[],[],[],[]
2,1179,Dos días en el valle,2 Days in the Valley,"['Comedia', 'Crimen']",['John Herzfeld'],"['detective', 'assassin', 'jealousy', 'gun', 'hostage', 'cocaine', 'hitman', 'murder', 'suicidal', 'scam', 'los angeles', 'explosion', 'argument']","['Danny Aiello', 'Greg Cruttwell', 'Jeff Daniels', 'Teri Hatcher', 'Charlize Theron']"
3,1410,2010: Moby Dick,2010: Moby Dick,[],[],[],[]
4,1462,21 años: Richard Linklater,21 Years: Richard Linklater,['Documental'],"['Michael Dunaway', 'Tara Wood']",['movie business'],"['Joey Lauren Adams', 'Jack Black', 'Miranda Cosgrove', 'Julie Delpy', 'Jay Duplass']"
5,1510,2BPerfectlyHonest,2BPerfectlyHonest,[],['Randel Cole'],[],"['Adam Trese', 'Andrew McCarthy', 'John Turturro', 'Michael Badalucco', 'Aida Turturro']"
6,1687,30 minutos o menos,30 Minutes or Less,"['Acción', 'Aventura', 'Comedia']",['Ruben Fleischer'],"['pizza delivery', 'adventure', 'pizza boy', 'aftercreditsstinger']","['Jesse Eisenberg', 'Danny McBride', 'Aziz Ansari', 'Bianca Kajlich', 'Nick Swardson']"
7,1714,33 Postcards,33 Postcards,['Drama'],['Pauline Chan'],['woman director'],"['Guy Pearce', 'Zhu Lin', 'Claudia Karvan', 'Elaine Jin', 'Rhys Muldoon']"
8,2228,7 Suns,7 soles,['Drama'],['Pedro Ultreras'],[],"['Luis Ávila', 'Evangelina Sosa', 'Thais Durazo', 'Silvia Seleny', 'Ella Quintero']"
9,2261,8 millas,8 Mile,['Drama'],['Curtis Hanson'],"['individual', 'street gang', 'adolescence', 'rap music', 'hip-hop', 'rhyme battle', 'trailer park', 'ethnic stereotype', 'single', 'detroit', 'eminem']","['Eminem', 'Mekhi Phifer', 'Brittany Murphy', 'Kim Basinger', 'Michael Shannon']"
10,2293,Número 9,9,"['Acción', 'Aventura', 'Animación', 'Ciencia ficción', 'Suspense']",['Shane Acker'],"['man vs machine', 'hope', 'post-apocalyptic', 'dystopia', 'friendship', 'war', 'steampunk', 'coward', 'end of world', 'rag doll']","['Christopher Plummer', 'Martin Landau', 'John C. Reilly', 'Crispin Glover', 'Jennifer Connelly']"
11,2314,9/11: Explosive Evidence: Experts Speak Out,9/11: Explosive Evidence: Experts Speak Out,['Documental'],['Richard Gage'],[],[]
12,2505,A Christmas Wedding,A Christmas Wedding,"['Comedia', 'Familia', 'Romance', 'Película de TV']",['Michael Zinberg'],['holiday'],"['Sarah Paulson', 'Richard Blackburn', 'Eric Mabius', 'Dean Cain']"
13,2660,Ipu el loco,A Farewell to Fools,"['Comedia', 'Drama', 'Bélica']",['Bogdan Dreyer'],[],"['Gérard Depardieu', 'Harvey Keitel', 'Laura Morante', 'Bogdan Iancu', 'Alexandru Bindea']"
14,2758,Wallace y Gromit: La gran excursión,A Grand Day Out,"['Aventura', 'Animación', 'Comedia', 'Ciencia ficción', 'Familia']",['Nick Park'],"['moon', 'inventor', 'missile', 'cheese', 'stop motion', 'robot', 'dog', 'ski', 'plasticine', 'clay animation']",['Peter Sallis']
15,2890,El último concierto,A Late Quartet,"['Música', 'Drama']",['Yaron Zilberman'],"['classical music', 'quartet']","['Philip Seymour Hoffman', 'Mark Ivanir', 'Catherine Keener', 'Imogen Poots', 'Christopher Walken']"
16,3016,"El sueño de una noche de verano, de William Shakespeare",A Midsummer Night's Dream,"['Fantasía', 'Drama', 'Comedia', 'Romance']",['Michael Hoffman'],"['shakespeare', 'fairy', 'lover', 'promise', 'luck', 'puck']","['Rupert Everett', 'Calista Flockhart', 'Kevin Kline', 'Michelle Pfeiffer', 'Stanley Tucci']"
17,3020,A Mile in His Shoes,A Mile in His Shoes,"['Drama', 'Familia']",['William Dear'],[],"['Luke Schroder', 'George Canyon', 'Dean Cain', 'Chilton Crane', 'Jarod Joseph']"
18,3106,A Novel Romance,A Novel Romance,"['Romance', 'Comedia', 'Drama']",['Allie Dvorin'],[],"['Shannon Elizabeth', 'Steve Guttenberg', 'Matthew Del Negro', 'Milena Govich', 'Natalya Rudakova']"
19,3213,Una habitación con vistas,A Room with a View,"['Película de TV', 'Drama', 'Romance']",['Nicholas Renton'],[],"['Elaine Cassidy', 'Laurence Fox', 'Rafe Spall', 'Sophie Thompson', 'Mark Williams']"
20,3242,Camino hacia la gloria,A Shot at Glory,['Drama'],['Michael Corrente'],[],"['Robert Duvall', 'Ally McCoist', 'Michael Keaton', 'Kirsty Mitchell', 'Morag Hood']"
21,3266,El sonido del trueno,A Sound of Thunder,"['Suspense', 'Ciencia ficción', 'Aventura', 'Acción']",['Peter Hyams'],"['dying and death', 'time travel', 'romance', 'dinosaur']","['Heike Makatsch', 'Armin Rohde', 'David Oyelowo', 'Wilfried Hochholdinger', 'Edward Burns']"
22,3312,Tiempo de Matar,A Time to Kill,"['Crimen', 'Drama', 'Suspense']",['Joel Schumacher'],"['ku klux klan', 'rape', 'mississippi', 'jurors', 'blackmail', 'attempted murder', 'forgiveness', 'court', 'shooting', 'murder', 'suspense', 'lawyer', 'trial', 'courtroom', 'racial tension', 'kkk', 'racial issues', 'courtroom drama']","['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson', 'Kevin Spacey', 'Oliver Platt']"
23,3417,Un paseo para recordar,A Walk to Remember,"['Drama', 'Romance']",['Adam Shankman'],"['based on novel or book', 'theatre group', 'north carolina', 'theatre milieu', 'high school', 'cancer', 'coming of age', 'tragic love', 'teenager', 'star crossed lovers']","['Mandy Moore', 'Shane West', 'Peter Coyote', 'Daryl Hannah', 'Lauren German']"
24,3461,Aashiqui 2,Aashiqui 2,"['Drama', 'Romance']",['Mohit Suri'],"['artist', 'musical', 'tragic love']","['Aditya Roy Kapoor', 'Shraddha Kapoor', 'Shaad Randhawa', 'Mahesh Thakur', 'Salil Acharya']"
25,3471,Abandoned,Abandoned,[],[],[],[]
26,3534,Un niño grande,About a Boy,"['Drama', 'Comedia', 'Romance']","['Chris Weitz', 'Paul Weitz']","['london england', 'rock and roll', 'single parent', 'based on novel or book', 'rap music', 'bachelor', 'becoming an adult', 'friendship', 'single']","['Hugh Grant', 'Nicholas Hoult', 'Toni Collette', 'Rachel Weisz', 'Sharon Small']"
27,3815,Admitido,Accepted,['Comedia'],['Steve Pink'],"['straitjacket ', 'hot dog costume', 'electro shock', 'fake school', 'croquet', 'sprinkler system']","['Justin Long', 'Jonah Hill', 'Blake Lively', 'Adam Herschman', 'Columbus Short']"
28,3916,Across the Hall,Across the Hall,"['Suspense', 'Misterio', 'Romance']",['Alex Merkin'],"['hotel', 'neo-noir']","['Mike Vogel', 'Brittany Murphy', 'Danny Pino', 'Brad Greenquist', 'Arie Verveen']"
29,3919,Across the Universe,Across the Universe,"['Aventura', 'Drama', 'Música', 'Romance']",['Julie Taymor'],"['riot', 'protest', 'musical', 'music', 'cultural difference', 'university', 'fantasy sequence', 'anti war', 'police arrest', 'march', 'woman director', '1960s']","['Evan Rachel Wood', 'Jim Sturgess', 'Joe Anderson', 'Dana Fuchs', 'Martin Luther']"
30,3978,La familia Addams: La tradición continúa,Addams Family Values,"['Comedia', 'Familia', 'Fantasía']",['Barry Sonnenfeld'],"['sibling relationship', 'jealousy', 'baby', 'butler', 'yuppie', 'nanny', 'summer camp', 'guillotine', 'uncle']","['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci', 'Joan Cusack']"
31,4204,Adventureland,Adventureland,['Comedia'],['Greg Mottola'],"['cheating on partner', 'amusement park', 'summer job', 'carny', 'marijuana joint', 'reconciliation', 'ticket booth', 'job seeking', 'leaving home', 'duringcreditsstinger', 'young adult', '1980s']","['Jesse Eisenberg', 'Kristen Stewart', 'Martin Starr', 'Kristen Wiig', 'Bill Hader']"
