,id,title,title_original,genres,director,keywords,cast
0,44,500 dias juntos,(500) Days of Summer,"['Comedia', 'Drama', 'Romance']",['Marc Webb'],"['date', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles', 'summer', 'year', 'heartache']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler']"
1,44,500 dias juntos,(500) Days of Summer,"['Comedia', 'Drama', 'Romance']",['Marc Webb'],"['date', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles', 'summer', 'year', 'heartache']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler']"
2,49,Nuestros maravillosos aliados,*batteries not included,"['Comedia', 'Familia', 'Fantasía', 'Ciencia ficción']",['Matthew Robbins'],"['extraterrestrial technology', 'alien life-form', 'alien phenomenons', 'spaceship', 'new york city', 'apartment building', 'elderly couple', 'property development']","['Hume Cronyn', 'Jessica Tandy', 'Frank McRae', 'Elizabeth Peña', 'Michael Carmine']"
3,49,Nuestros maravillosos aliados,*batteries not included,"['Comedia', 'Familia', 'Fantasía', 'Ciencia ficción']",['Matthew Robbins'],"['extraterrestrial technology', 'alien life-form', 'alien phenomenons', 'spaceship', 'new york city', 'apartment building', 'elderly couple', 'property development']","['Hume Cronyn', 'Jessica Tandy', 'Frank McRae', 'Elizabeth Peña', 'Michael Carmine']"
4,558,Arresto domiciliario,100 Feet,"['Terror', 'Suspense']",['Eric Red'],"['house arrest', 'haunting', 'vengeful ghost']","['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré', 'Patricia Charbonneau']"
5,761,12 trampas,12 Rounds,"['Acción', 'Suspense', 'Crimen']",['Renny Harlin'],"['police', 'cops', 'cat and mouse', 'family', 'revenge drama']","['John Cena', 'Aidan Gillen', 'Ashley Scott', 'Steve Harris', 'Brian J. White']"
6,763,12 balas,12 Rounds 3: Lockdown,"['Acción', 'Suspense', 'Crimen']",['Stephen Reynolds'],"['cat and mouse', 'family', 'revenge drama']","['Jonathan Good', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro', 'Ty Olsson']"
7,768,12 años de esclavitud,12 Years a Slave,"['Drama', 'Historia']",['Steve McQueen'],"['slavery', 'violin player', 'physical abuse', 'black slave', 'american history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'abuse of power']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano']"
8,768,12 años de esclavitud,12 Years a Slave,"['Drama', 'Historia']",['Steve McQueen'],"['slavery', 'violin player', 'physical abuse', 'black slave', 'american history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'abuse of power']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano']"
9,777,127 horas,127 Hours,"['Aventura', 'Drama', 'Suspense']",['Danny Boyle'],"['mountain', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on a true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']","['James Franco', 'Kate Mara', 'Amber Tamblyn', 'Clémence Poésy', 'Lizzy Caplan']"
10,777,127 Hours,127 Hours,[],[],[],[]
11,787,13 Going on 30,13 Going on 30,[],[],[],[]
12,816,15 años y un día,15 años y un día,[],[],[],[]
13,816,15 años y un día,15 años y un día,[],[],[],[]
14,841,16 Blocks,16 Blocks,[],[],[],[]
15,914,180 Segundos,180 Segundos,[],[],[],[]
16,914,180 Segundos,180 Segundos,[],[],[],[]
17,957,1972,1972,[],[],[],[]
18,1183,2 Fast 2 Furious,2 Fast 2 Furious,[],[],[],[]
19,1375,20 Animals That Will Kill You,20 Animals That Will Kill You,[],[],[],[]
20,1375,20 Animals That Will Kill You,20 Animals That Will Kill You,[],[],[],[]
21,1411,2012,2012,[],[],[],[]
22,1457,21 Grams,21 Grams,[],[],[],[]
23,1457,21 Grams,21 Grams,[],[],[],[]
24,1464,22 Jump Street,22 Jump Street,[],[],[],[]
25,1498,27 Dresses,27 Dresses,[],[],[],[]
26,1498,27 Dresses,27 Dresses,[],[],[],[]
27,1556,3 cuernos de chivo,3 cuernos de chivo,[],[],[],[]
28,1560,3 Days to Kill,3 Days to Kill,[],[],[],[]
29,1587,3 Men and a Baby,3 Men and a Baby,[],[],[],[]
30,1588,3 Men and a Little Lady,3 Men and a Little Lady,[],[],[],[]
31,1652,30 Days of Night,30 Days of Night,[],[],[],[]
32,1693,300,300,[],[],[],[]
33,1697,300: Rise of an Empire,300: Rise of an Empire,[],[],[],[]
34,1740,3:10 to Yuma,3:10 to Yuma,[],[],[],[]
35,1740,El tren de las 3:10,3:10 to Yuma,['Western'],['James Mangold'],"['parent child relationship', 'saloon', 'hero', 'liberation of prisoners', 'transport of prisoners', 'wilderness', 'dying and death', 'race against time', 'railway car', 'stetson', 'rivalry', 'gang', 'gunfight', 'family', 'psychological', 'dishonesty', 'heroic mission', 'righting the wronged', 'chases and races', 'mind and soul']","['Russell Crowe', 'Christian Bale', 'Logan Lerman', 'Dallas Roberts', 'Peter Fonda']"
36,1935,Los 4 fantásticos y Silver Surfer,Fantastic Four: Rise of the Silver Surfer,"['Aventura', 'Fantasía', 'Acción', 'Suspense']",['Tim Story'],"['fire', 'helicopter', 'surfboard', 'mask', 'satellite', 'airplane', 'transformation', 'forest', 'resurrection', 'sequel', 'superhero', 'based on comic', 'outer space', 'wedding', 'explosion', 'scientist', 'interrogation', 'double cross', 'fantastic four', 'military', 'earth in peril', 'superhuman strength', 'duringcreditsstinger', 'invisibility', 'silver surfer', 'forcefield', 'elasticity']","['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon']"
37,2084,50 primeras citas,50 First Dates,"['Comedia', 'Romance']",['Peter Segal'],"['deja vu', 'amnesia', 'hawaii', 'ladykiller', 'romantic comedy']","['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin', 'Lusia Strus']"
38,2127,6 Balas,6 Bullets,"['Suspense', 'Acción', 'Crimen']",['Ernie Barbarash'],[],"['Jean-Claude Van Damme', 'Kris Van Damme', 'Bianca Bree', 'Joe Flanigan', 'Anna-Louise Plowman']"
39,2193,7 años de matrimonio,7 años de matrimonio,"['Comedia', 'Romance']",['Joel Núñez'],['marriage problems'],"['Roberto Palazuelos', 'Ximena Herrera', 'Ximena Herrera', 'Cristián de la Fuente', 'Fernando Becerril']"
40,2193,7 años de matrimonio,7 años de matrimonio,"['Comedia', 'Romance']",['Joel Núñez'],['marriage problems'],"['Roberto Palazuelos', 'Ximena Herrera', 'Ximena Herrera', 'Cristián de la Fuente', 'Fernando Becerril']"
