,id,title,title_original,genres,director,keywords,cast
0,125,02:22,02:22,[],[],[],[]
1,764,12 segundos,12 segundos,['Suspense'],['Kenneth Muller'],[],"['Flor Payán', 'Mario Zaragoza']"
2,1398,20.000 Besos,20.000 Besos,"['Romance', 'Comedia']",['Sebastián De Caro'],[],"['Walter Cornás', 'Carla Quevedo', 'Eduardo Blanco', 'Alan Sabbagh', 'Gastón Pauls']"
3,1954,El póker de la muerte,5 Card Stud,"['Acción', 'Western', 'Suspense']",['Henry Hathaway'],"['poker', 'murder', 'cementery', 'cheating at cards']","['Dean Martin', 'Robert Mitchum', 'Inger Stevens', 'Roddy McDowall', 'Katherine Justice']"
4,1959,5 días de guerra,5 Days of War,"['Bélica', 'Drama']",['Renny Harlin'],"['journalist', 'war crimes', 'mass murder', 'evacuation', 'interpreter', 'invasion', 'battlefield', 'georgia europe', 'torture', 'soldier', 'explosion', 'interrogation', 'bombing', 'death', 'russian politics', 'military', 'news report', 'cameraman', 'combat photography', 'war zone']","['Rupert Friend', 'Val Kilmer', 'Andy García', 'Dean Cain', 'Emmanuelle Chriqui']"
5,2089,50/50,50/50,"['Comedia', 'Drama']",['Jonathan Levine'],"['usa', 'painter', 'parent child relationship', 'therapist', 'friendship', 'cancer', 'psychologist', 'hospital', 'best friend', 'doctor', 'patient', 'doctor patient relationship', 'vomiting', 'chemotherapy']","['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard', 'Anjelica Huston']"
6,2472,Otra clase de justicia,Puncture Wounds,"['Acción', 'Drama']","['Giorgio Serafini', 'James Coyne']",[],"['Dolph Lundgren', 'Cung Le', 'Vinnie Jones', 'Gianni Capaldi', 'Briana Evigan']"
7,2496,Un beso de Navidad,A Christmas Kiss II,"['Película de TV', 'Romance']",['Kevin Conner'],"['holiday', 'christmas']","['Elisabeth Harnois', 'Adam Mayfield', 'Lola Glaudini', 'Jonathan Bennett', 'Elisabeth Röhm']"
8,2537,Objetivo terrorista,A Common Man,"['Acción', 'Suspense']",['Chandran Rutnam'],"['terrorist', 'threat', 'bomb planting', 'terrorist plot']","['Ben Kingsley', 'Ben Cross', 'Patrick Rutnam', 'Ashan Dias', 'Mohamed Adamaly']"
9,2748,A Good Man,A Good Man,[],[],[],[]
