,id,title,title_original,genres,director,keywords,cast
0,44,500 dias juntos,(500) Days of Summer,"['Comedia', 'Drama', 'Romance']",['Marc Webb'],"['date', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles', 'summer', 'year', 'heartache']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler']"
1,125,02:22,02:22,[],[],[],[]
2,237,1 Enfermera Perversa,1 Enfermera Perversa,[],[],[],[]
3,289,1 Lluvia de leche,1 Lluvia de leche,[],[],[],[]
4,519,10 secretarias chorreando,10 secretarias chorreando,[],[],[],[]
5,577,100% acción anal,100% acción anal,[],[],[],[]
6,640,100% perversión,100% perversión,[],[],[],[]
7,761,12 trampas,12 Rounds,"['Acción', 'Suspense', 'Crimen']",['Renny Harlin'],"['police', 'cops', 'cat and mouse', 'family', 'revenge drama']","['John Cena', 'Aidan Gillen', 'Ashley Scott', 'Steve Harris', 'Brian J. White']"
8,763,12 balas,12 Rounds 3: Lockdown,"['Acción', 'Suspense', 'Crimen']",['Stephen Reynolds'],"['cat and mouse', 'family', 'revenge drama']","['Jonathan Good', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro', 'Ty Olsson']"
9,768,12 años de esclavitud,12 Years a Slave,"['Drama', 'Historia']",['Steve McQueen'],"['slavery', 'violin player', 'physical abuse', 'black slave', 'american history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'abuse of power']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano']"
10,777,127 horas,127 Hours,"['Aventura', 'Drama', 'Suspense']",['Danny Boyle'],"['mountain', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on a true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']","['James Franco', 'Kate Mara', 'Amber Tamblyn', 'Clémence Poésy', 'Lizzy Caplan']"
11,841,16 calles,16 Blocks,"['Acción', 'Aventura', 'Crimen', 'Suspense']",['Richard Donner'],"['mission of murder', 'male bonding', 'doing the right thing', 'people change']","['Bruce Willis', 'Yasiin Bey', 'David Morse', 'Jenna Stern', 'David Zayas']"
12,889,18 y adicta a tu pene,18 y adicta a tu pene,[],[],[],[]
13,936,19 Años: Orgía de Regalo,19 Años: Orgía de Regalo,[],[],[],[]
14,1183,2 Fast 2 Furious: A todo gas 2,2 Fast 2 Furious,"['Acción', 'Crimen', 'Suspense']",['John Singleton'],"['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']","['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Ludacris']"
15,1201,2 Latinas Bien Zorras,2 Latinas Bien Zorras,[],[],[],[]
16,1239,2 orgias en casa,2 orgias en casa,[],[],[],[]
17,1450,20cm adentro de tu culo,20cm adentro de tu culo,[],[],[],[]
18,1453,Noche de marcha,21 & Over,['Comedia'],"['Scott Moore', 'Jon Lucas']","['alcohol', 'birthday', 'party', 'friends', 'debauchery']","['Miles Teller', 'Skylar Astin', 'Justin Chon', 'Sarah Wright', 'Jonathan Keltz']"
19,1516,2da orgia amateur,2da orgia amateur,[],[],[],[]
20,1558,3 Day Test,3 Day Test,"['Familia', 'Comedia']",[],['christmas'],[]
21,1757,3x1: Morenas zorras,3x1: Morenas zorras,[],[],[],[]
22,2089,50/50,50/50,[],[],[],[]
23,2104,5ta a fondo,5ta a fondo,[],[],[],[]
24,2339,@ en el agujero,@ en el agujero,[],[],[],[]
25,2423,A Bug's Life,A Bug's Life,[],[],[],[]
26,2754,A Goofy Movie,A Goofy Movie,[],[],[],[]
27,2879,A La Orgia En La Universidad,A La Orgia En La Universidad,[],[],[],[]
28,2888,A las chicas con curvas les encanta el sexo anal,A las chicas con curvas les encanta el sexo anal,[],[],[],[]
29,2915,A Little Bit of Heaven,A Little Bit of Heaven,[],[],[],[]
30,2936,A Lot Like Love,A Lot Like Love,[],[],[],[]
