,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
8,8,764,12 segundos,12 segundos,['Suspense'],['Kenneth Muller'],[],"['Flor Payán', 'Mario Zaragoza']",12
14,14,1183,2 Fast 2 Furious: A todo gas 2,2 Fast 2 Furious,"['Acción', 'Crimen', 'Suspense']",['John Singleton'],"['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']","['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Ludacris']",32
15,15,1191,2 Guns,2 Guns,"['Acción', 'Comedia', 'Crimen']",['Baltasar Kormákur'],"['undercover', 'undercover agent', 'based on comic', 'money', 'fugitive', 'bank robbery', 'dea agent']","['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton', 'Fred Ward']",31
18,18,1398,20.000 Besos,20.000 Besos,"['Romance', 'Comedia']",['Sebastián De Caro'],[],"['Walter Cornás', 'Carla Quevedo', 'Eduardo Blanco', 'Alan Sabbagh', 'Gastón Pauls']",22
20,20,1959,5 días de guerra,5 Days of War,"['Bélica', 'Drama']",[],"['journalist', 'war crimes', 'mass murder', 'evacuation', 'interpreter', 'invasion', 'battlefield', 'georgia europe', 'torture', 'soldier', 'explosion', 'interrogation', 'bombing', 'death', 'russian politics', 'military', 'news report', 'cameraman', 'combat photography', 'war zone']",[],19
52,52,4803,"Alien, el octavo pasajero",Alien,"['Terror', 'Ciencia ficción']",['Ridley Scott'],"['android', 'countdown', 'space marine', 'space suit', 'beheading', 'space travel', 'dystopia', 'biology', 'cowardice', 'spaceship', 'space', 'alien', 'female protagonist', 'outer space', 'parasite', 'h. r. giger', 'cosmos', 'xenomorph']","['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright', 'Harry Dean Stanton', 'John Hurt']",29
53,53,4883,All in Good Time,All in Good Time,"['Comedia', 'Romance']",['Nigel Cole'],['newlywed'],"['Amara Karan', 'Reece Ritchie', 'Harish Patel', 'Meera Syal', 'Hassani Shapi']",22
56,56,5092,Alvin y las ardillas,Alvin and the Chipmunks,"['Comedia', 'Música', 'Familia', 'Fantasía', 'Animación']",['Tim Hill'],"['pop', 'pop star', 'record producer', 'surprise', 'approach', 'forest', 'music', 'concert', 'friendship', 'performance', 'chipmunk', 'anthropomorphism', 'songwriter', 'talking to animals', 'duringcreditsstinger']","['Jason Lee', 'David Cross', 'Cameron Richardson', 'Jane Lynch', 'Justin Long']",57
58,58,5095,Alvin y las ardillas 3,Alvin and the Chipmunks: Chipwrecked,"['Comedia', 'Fantasía', 'Familia', 'Música', 'Animación']",['Mike Mitchell'],"['sequel', 'chipmunk', 'cruise ship', 'overboard']","['Jason Lee', 'David Cross', 'Jenny Slate', 'Andy Buckley', 'Justin Long']",57
60,60,5097,Alvin y las ardillas 2,Alvin and the Chipmunks: The Squeakquel,"['Comedia', 'Familia', 'Animación', 'Fantasía', 'Música']",['Betty Thomas'],"['chipmunk', 'cgi', 'based on tv series', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']","['Zachary Levi', 'David Cross', 'Jason Lee', 'Justin Long', 'Matthew Gray Gubler']",57
