,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
0,0,1183,2 Fast 2 Furious: A todo gas 2,2 Fast 2 Furious,"['Acción', 'Crimen', 'Suspense']",['John Singleton'],"['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']","['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Ludacris']",32
2,2,1457,21 gramos,21 Grams,"['Drama', 'Crimen', 'Suspense']",['Alejandro González Iñárritu'],"['life and death', 'loss of loved one', 'transplantation', 'suicide attempt', 'desperation', 'ex-detainee', 'sadness', 'rage and hate', 'car crash']","['Sean Penn', 'Naomi Watts', 'Benicio del Toro', 'Danny Huston', 'Carly Nahon']",31
4,4,1652,30 días de oscuridad,30 Days of Night,"['Terror', 'Suspense']",['David Slade'],"['sunrise', 'winter', 'vampire', 'marriage crisis', 'alaska', 'based on graphic novel', 'blizzard', 'blood lust', 'polar night']","['Josh Hartnett', 'Melissa George', 'Ben Foster', 'Danny Huston', 'Mark Boone Junior']",22
6,6,1693,300,300,"['Acción', 'Aventura', 'Bélica']",['Zack Snyder'],"['evisceration', 'javelin', 'shield', 'army', 'ancient world', 's.a.t.', 'minions', 'warrior']","['Gerard Butler', 'Lena Headey', 'Dominic West', 'David Wenham', 'Vincent Regan']",32
37,37,3979,Addicted,Addicted,"['Drama', 'Suspense']",['Bille Woodruff'],"['infidelity', 'obsession', 'lie', 'sin', 'interracial relationship', 'cheating wife', 'lust', 'attraction', 'deceit', 'temptation', 'hipersexualidad', 'faithful husband']","['Boris Kodjoe', 'Brandon Gonzales', 'Cameron Mills', 'Emayatzy Corinealdi', 'Garrett Hines']",21
41,41,4455,Ahora o nunca,Ahora o nunca,['Comedia'],['María Ripoll'],"['wedding', 'postponed wedding', 'woman director']","['Dani Rovira', 'María Valverde', 'Clara Lago', 'Alicia Rubio', 'Marcel Borràs']",11
43,43,4847,Alive Day Memories: Home from Iraq,Alive Day Memories: Home from Iraq,['Documental'],"['Ellen Goosenberg Kent', 'Jon Alpert']",['woman director'],"['James Gandolfini', 'Dexter Pitts']",14
45,45,4888,Cuando todo está perdido,All Is Lost,"['Acción', 'Aventura', 'Drama']",[],[],[],31
78,78,7990,Regreso al futuro III,Back to the Future Part III,"['Aventura', 'Comedia', 'Familia', 'Ciencia ficción']",['Robert Zemeckis'],"['railroad robber', 'california', 'delorean', 'indian territory', 'sports car', 'inventor', 'locomotive', 'saloon', 'horseback riding', 'time travel', 'outlaw', 'sequel', 'mad scientist', 'native american', 'western', 'shootout', 'gunfight', 'train', 'wild west', 'cavalry']","['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson']",53
79,79,8103,Resident Evil: Degeneración,Baiohazâdo: Dijenerêshon,"['Animación', 'Terror', 'Acción', 'Ciencia ficción']",['Makoto Kamiya'],"['biological weapon', 'post-apocalyptic', 'dystopia', 'infection', 'resident evil', 'zombie', 'based on video game', 'adult animation']","['Alyson Court', 'Paul Mercier', 'Laura Bailey', 'Roger Craig Smith', 'Crispin Freeman']",52
84,84,8721,Antes de amanecer,Before Sunrise,"['Drama', 'Romance']",['Richard Linklater'],"['sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Karl Bruckschwaiger']",20
86,86,8723,Antes que el diablo sepa que has muerto,Before the Devil Knows You're Dead,"['Crimen', 'Drama', 'Suspense']",['Sidney Lumet'],"['sibling relationship', 'office', 'drug addiction', 'hold-up robbery', 'career', 'shortage of money', 'greed', 'investigation', 'daughter', 'father', 'workplace', 'woman between two men', 'sibling rivalry', 'hospital', 'jewelry store', 'botched robbery']","['Philip Seymour Hoffman', 'Ethan Hawke', 'Albert Finney', 'Marisa Tomei', 'Aleksa Palladino']",31
122,122,9939,Perdición,Body Language,"['Suspense', 'Romance']",['George Case'],[],"['Tom Berenger', 'Nancy Travis', 'Robert Patrick', 'Eddie Jones', 'Heidi Schanz']",23
124,124,10527,Broken Child,Broken Child,['Documental'],[],[],[],14
126,126,10846,Entierra mi corazón en Wounded Knee,Bury My Heart at Wounded Knee,"['Drama', 'Historia', 'Película de TV', 'Western']",['Yves Simoneau'],"['war crimes', 'mass murder', 'native american attack', 'history', 'native american', 'native american reservation', '19th century', 'indigenous peoples', 'assimilation', 'early america']","['Anna Paquin', 'Chevez Ezaneh', 'August Schellenberg', 'Duane Howard', 'Aidan Quinn']",50
128,128,10981,Caos en alta mar,Cabin Boy,['Comedia'],['Adam Resnick'],[],"['Chris Elliott', 'Ritch Brinkley', 'James Gammon', 'Brian Doyle-Murray', 'Brion James']",11
163,163,13330,Co-ed Call Girl,Co-ed Call Girl,"['Crimen', 'Drama']",['Michael Ray Rhodes'],"['escort service', 'money problems', 'shame', 'college student']","['Tori Spelling', 'Susan Blakely', 'Scott Plank', 'Carmen Argenziano', 'Jeri Ryan']",19
165,165,13387,Code Name: Wolverine,Code Name: Wolverine,"['Acción', 'Suspense']",['David Jackson'],"['navy', 'revenge', 'underwater', 'drugs']","['Antonio Sabàto, Jr.', 'Traci Lind', 'Danny Quinn', 'Richard Brooks', 'Matthew Cox']",22
167,167,14066,Confirmation,Confirmation,"['Drama', 'Historia']",['Rick Famuyiwa'],"['usa', 'court', '1990s']","['Kerry Washington', 'Wendell Pierce', 'Greg Kinnear', 'Jeffrey Wright', 'Eric Stonestreet']",21
173,173,15328,Mentes Peligrosas,Dangerous Minds,"['Drama', 'Crimen']",['John N. Smith'],"['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville']",19
209,209,17779,Furia ciega,Drive Angry,"['Fantasía', 'Suspense', 'Acción', 'Crimen']",['Patrick Lussier'],"['kidnapping', 'race against time', 'violence', 'satanic cult', 'escaped from hell']","['Nicolas Cage', 'Amber Heard', 'William Fichtner', 'Billy Burke', 'David Morse']",44
215,215,18022,E.T. el extraterrestre,E.T. the Extra-Terrestrial,"['Ciencia ficción', 'Aventura', 'Familia', 'Fantasía']",['Steven Spielberg'],"['farewell', 'loss of loved one', 'homesickness', 'nasa', 'extraterrestrial technology', 'operation', 'space marine', 'hiding place', 'riding a bicycle', 'flying saucer', 'prosecution', 'halloween', 'frog', 'flowerpot', 'finger', 'single', 'alien', 'children', 'single mother']","['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton', 'Dee Wallace', 'Peter Coyote']",54
217,217,18043,Earthly Possessions,Earthly Possessions,"['Crimen', 'Drama', 'Romance']",['James Lapine'],"['bank', 'hostage', 'minister', 'escape']","['Susan Sarandon', 'Stephen Dorff', 'Margo Martindale', 'Boyd Gaines', 'Deborah Rush']",30
