,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
0,0,44,500 dias juntos,(500) Days of Summer,"['Comedia', 'Drama', 'Romance']",['Marc Webb'],"['date', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles', 'summer', 'year', 'heartache']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler']",31
7,7,761,12 trampas,12 Rounds,"['Acción', 'Suspense', 'Crimen']",['Renny Harlin'],"['police', 'cops', 'cat and mouse', 'family', 'revenge drama']","['John Cena', 'Aidan Gillen', 'Ashley Scott', 'Steve Harris', 'Brian J. White']",32
8,8,763,12 balas,12 Rounds 3: Lockdown,"['Acción', 'Suspense', 'Crimen']",['Stephen Reynolds'],"['cat and mouse', 'family', 'revenge drama']","['Jonathan Good', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro', 'Ty Olsson']",32
9,9,768,12 años de esclavitud,12 Years a Slave,"['Drama', 'Historia']",['Steve McQueen'],"['slavery', 'violin player', 'physical abuse', 'black slave', 'american history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'abuse of power']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano']",21
10,10,777,127 horas,127 Hours,"['Aventura', 'Drama', 'Suspense']",['Danny Boyle'],"['mountain', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on a true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']","['James Franco', 'Kate Mara', 'Amber Tamblyn', 'Clémence Poésy', 'Lizzy Caplan']",33
11,11,841,16 calles,16 Blocks,"['Acción', 'Aventura', 'Crimen', 'Suspense']",['Richard Donner'],"['mission of murder', 'male bonding', 'doing the right thing', 'people change']","['Bruce Willis', 'Yasiin Bey', 'David Morse', 'Jenna Stern', 'David Zayas']",44
14,14,1183,2 Fast 2 Furious: A todo gas 2,2 Fast 2 Furious,"['Acción', 'Crimen', 'Suspense']",['John Singleton'],"['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']","['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Ludacris']",32
18,18,1453,Noche de marcha,21 & Over,['Comedia'],"['Scott Moore', 'Jon Lucas']","['alcohol', 'birthday', 'party', 'friends', 'debauchery']","['Miles Teller', 'Skylar Astin', 'Justin Chon', 'Sarah Wright', 'Jonathan Keltz']",11
20,20,1558,3 Day Test,3 Day Test,"['Familia', 'Comedia']",[],['christmas'],[],22
54,54,4893,Todo o nada,All or Nothing,"['Comedia', 'Drama']",['Mike Leigh'],"['taxi driver', 'working class', 'nursing home']","['James Corden', 'Timothy Spall', 'Ruth Sheen', 'Lesley Manville', 'Sally Hawkins']",20
