,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
0,0,1458,Infiltrados en clase,21 Jump Street,"['Acción', 'Comedia', 'Crimen']","['Phil Lord', 'Christopher Miller']","['male friendship', 'investigation', 'high school', 'parody', 'crude humor', 'based on tv series', 'undercover cop', 'buddy cop', 'buddy comedy', 'duringcreditsstinger']","['Jonah Hill', 'Channing Tatum', 'Brie Larson', 'Dave Franco', 'Rob Riggle']",31
1,1,1464,Infiltrados en la universidad,22 Jump Street,"['Crimen', 'Comedia', 'Acción']","['Phil Lord', 'Christopher Miller']","['high school', 'undercover cop', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger']","['Jonah Hill', 'Channing Tatum', 'Peter Stormare', 'Ice Cube', 'Amber Stevens']",31
2,2,2423,"Bichos, una aventura en miniatura",A Bug's Life,"['Aventura', 'Animación', 'Comedia', 'Familia']",['John Lasseter'],"['winter', 'fight', 'ant', 'invention', 'collector', 'ant-hill', 'kids and family', 'grass', 'duringcreditsstinger']","['Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus', 'Hayden Panettiere', 'Phyllis Diller']",47
3,3,2673,Algunos hombres buenos,A Few Good Men,['Drama'],['Rob Reiner'],"['suicide', 'underdog', 'suspicion of murder', 'court case', 'navy', 'law', 'dying and death', 'guantanamo bay', 'marine corps', 'military court', 'code red', 'command', 'military base', 'u.s. navy', 'sexism', 'right and justice', 'based on play or musical', 'court martial', 'flashback', 'platoon leader', 'military law']","['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kevin Pollak']",9
4,4,3413,Caminando entre las tumbas,A Walk Among the Tombstones,"['Crimen', 'Drama', 'Misterio', 'Suspense']",['Scott Frank'],"['based on novel or book', 'murder', 'mafia', 'private investigator', 'new york city', 'drugs', 'alcoholic', 'kingpin', 'wife murder', '1990s']","['Liam Neeson', 'Dan Stevens', 'David Harbour', 'Boyd Holbrook', 'Adam David Thompson']",43
16,16,7970,Despedida de soltera,Bachelorette,"['Comedia', 'Romance']",['Leslye Headland'],"['bridesmaid', 'strip club', 'female friendship', 'overweight woman', 'reunion', 'drug use', 'wedding', 'wedding dress', 'childhood friends', 'woman director', 'bachelorette party', 'bitch']","['Kirsten Dunst', 'Isla Fisher', 'Lizzy Caplan', 'Rebel Wilson', 'Adam Scott']",22
17,17,7988,Regreso al futuro,Back to the Future,"['Aventura', 'Comedia', 'Ciencia ficción', 'Familia']",['Robert Zemeckis'],"['clock tower', 'car race', 'terrorist', 'delorean', 'lightning', 'guitar', 'plutonium', 'sports car', 'inventor', 'journey in the past', 'invention', 'time travel', 'race against time', 'partner', 'misfit', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'odd couple', 'escapade', 'disorder', 'chases and races', 'love and romance', 'teenage life', 'misfit partners', 'changing the past or future', 'getting home']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson']",53
18,18,7989,Regreso al futuro II,Back to the Future Part II,"['Aventura', 'Comedia', 'Familia', 'Ciencia ficción']",['Robert Zemeckis'],"['skateboarding', 'flying car', 'car race', 'delorean', 'lightning', 'almanac', 'inventor', 'time travel', 'sequel', 'diner', 'alternate history', 'teenager', 'electric guitar', 'walking cane', 'high school dance', 'hoverboard', 'video phone']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Elisabeth Shue', 'James Tolkan']",53
19,19,8025,Dos policías rebeldes II,Bad Boys II,"['Aventura', 'Acción', 'Comedia', 'Suspense', 'Crimen']",['Michael Bay'],"['miami', 'ku klux klan', 'cuba', 'undercover', 'mexican standoff', 'ecstasy', 'gangster', 'guantánamo', 'slaughter', 'shootout', 'gunfight', 'bromance', 'violence', 'foot chase', 'interrogation', 'car chase', 'drug lord', 'exploding house', 'narcotics cop', 'illegal drugs', 'dea agent', 'buddy cop', 'criminal underworld', 'action hero', 'haitian gang', 'minefield']","['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare']",55
20,20,8905,Bending All The Rules,Bending All The Rules,"['Comedia', 'Romance']","['Morgan Klein', 'Peter Knight']",[],"['Bradley Cooper', 'Colleen Porch', 'David Gail', 'Shauna Vatovec', 'James Martin Kelly']",22
21,21,9245,Big Fish,Big Fish,"['Aventura', 'Fantasía', 'Drama']",['Tim Burton'],"['circus', 'witch', 'parent child relationship', 'fish', 'fishing', ""love of one's life"", 'leech', 'story teller', 'apoplectic stroke', 'fair', 'mermaid', 'cancer', 'relationship', 'youth', 'gentle giant']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange', 'Helena Bonham Carter']",33
22,22,10336,Brave (Indomable),Brave,"['Animación', 'Aventura', 'Comedia', 'Familia', 'Acción', 'Fantasía']","['Mark Andrews', 'Brenda Chapman']","['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'animation', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', 'quest', 'disney']","['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters', 'Robbie Coltrane']",69
23,23,10361,Breakaway,Breakaway,['Comedia'],['Rob Lieberman'],[],"['Vinay Virmani', 'Russell Peters', 'Camilla Belle', 'Anupam Kher', 'Rob Lowe']",11
47,47,20555,Plan de escape,Escape Plan,"['Acción', 'Suspense']",['Mikael Håfström'],"['prison', 'prisoner', 'ship', 'mystery', 'escape', 'prison escape']","['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jim Caviezel', 'Vinnie Jones', ""Vincent D'Onofrio""]",22
